Date,Open,High,Low,Close,Adj Close,Volume
2019-01-31,23.020000,25.139999,22.830000,24.410000,24.410000,182575600
2019-02-01,24.610001,24.840000,24.070000,24.510000,24.510000,105356200
2019-02-04,24.430000,24.660000,24.070000,24.129999,24.129999,70843800
2019-02-05,23.420000,23.860001,22.980000,23.309999,23.309999,122226000
2019-02-06,23.629999,24.139999,23.219999,23.260000,23.260000,78684300
2019-02-07,22.990000,23.219999,22.320000,22.670000,22.670000,86723900
2019-02-08,22.330000,23.280001,22.270000,23.049999,23.049999,78129300
2019-02-11,23.049999,23.280001,22.660000,22.959999,22.959999,60578700
2019-02-12,23.430000,23.559999,22.750000,22.820000,22.820000,67595400
2019-02-13,22.980000,23.240000,22.709999,22.850000,22.850000,57544200
2019-02-14,22.740000,23.370001,22.590000,23.129999,23.129999,64441200
2019-02-15,23.580000,24.049999,23.200001,23.680000,23.680000,78644100
2019-02-19,23.629999,24.410000,23.610001,23.950001,23.950001,57517900
2019-02-20,24.139999,24.370001,23.900000,23.950001,23.950001,57091600
2019-02-21,24.040001,24.330000,23.850000,23.920000,23.920000,49608200
2019-02-22,24.049999,24.360001,23.879999,24.360001,24.360001,52650700
2019-02-25,25.010000,25.520000,24.680000,24.709999,24.709999,63221000
2019-02-26,24.650000,24.719999,24.150000,24.209999,24.209999,48470100
2019-02-27,24.110001,24.230000,23.209999,23.480000,23.480000,62649300
2019-02-28,23.209999,23.670000,23.110001,23.530001,23.530001,39384900
2019-03-01,23.969999,24.190001,23.450001,23.680000,23.680000,48084000
2019-03-04,23.889999,24.129999,23.010000,23.370001,23.370001,48147700
2019-03-05,23.340000,23.680000,23.010000,23.500000,23.500000,35462600
2019-03-06,23.469999,23.530001,22.400000,22.410000,22.410000,60479400
2019-03-07,22.330000,22.410000,21.730000,22.080000,22.080000,52186300
2019-03-08,21.350000,22.090000,21.040001,22.010000,22.010000,49967700
2019-03-11,22.150000,23.080000,21.980000,22.959999,22.959999,54420200
2019-03-12,23.100000,23.799999,22.780001,23.490000,23.490000,56410600
2019-03-13,23.660000,24.150000,23.350000,23.379999,23.379999,56705800
2019-03-14,23.370001,23.490000,22.799999,22.820000,22.820000,42818600
2019-03-15,23.100000,23.650000,23.010000,23.290001,23.290001,46519900
2019-03-18,23.299999,23.620001,23.040001,23.250000,23.250000,34731800
2019-03-19,23.600000,26.080000,23.590000,26.000000,26.000000,156052200
2019-03-20,26.490000,26.879999,25.309999,25.700001,25.700001,151292100
2019-03-21,25.780001,28.110001,25.709999,27.889999,27.889999,129610300
2019-03-22,27.540001,27.750000,26.330000,26.370001,26.370001,115323300
2019-03-25,26.290001,26.990000,25.540001,25.969999,25.969999,78438200
2019-03-26,26.690001,26.980000,25.459999,25.690001,25.690001,75754100
2019-03-27,25.700001,25.879999,24.549999,24.889999,24.889999,88585300
2019-03-28,25.100000,25.559999,24.650000,25.059999,25.059999,64667500
2019-03-29,25.580000,25.730000,25.250000,25.520000,25.520000,53502800
2019-04-01,26.420000,26.559999,25.830000,26.360001,26.360001,63000300
2019-04-02,26.510000,26.799999,26.090000,26.750000,26.750000,53358800
2019-04-03,28.020000,29.950001,27.879999,29.020000,29.020000,197650500
2019-04-04,28.879999,29.389999,28.610001,29.090000,29.090000,82191100
2019-04-05,29.639999,29.690001,28.799999,28.980000,28.980000,65662700
2019-04-08,28.690001,28.950001,28.180000,28.530001,28.530001,58002500
2019-04-09,28.240000,28.379999,27.190001,27.240000,27.240000,75539800
2019-04-10,27.459999,28.120001,27.320000,27.830000,27.830000,64368100
2019-04-11,27.809999,28.049999,27.459999,27.790001,27.790001,44801200
2019-04-12,28.209999,28.379999,27.660000,27.850000,27.850000,41048800
2019-04-15,27.799999,27.840000,26.959999,27.330000,27.330000,40812500
2019-04-16,27.719999,28.180000,27.490000,27.930000,27.930000,47340100
2019-04-17,28.209999,28.270000,27.219999,27.490000,27.490000,48240800
2019-04-18,27.600000,27.879999,27.340000,27.680000,27.680000,39880900
2019-04-22,27.620001,28.230000,27.389999,28.180000,28.180000,36477300
2019-04-23,28.180000,28.490000,27.790001,27.969999,27.969999,41777500
2019-04-24,28.100000,28.850000,27.930000,28.459999,28.459999,51784700
2019-04-25,28.670000,28.860001,27.360001,27.660000,27.660000,57329700
2019-04-26,27.660000,27.900000,27.049999,27.879999,27.879999,48827900
2019-04-29,27.900000,28.139999,27.500000,27.690001,27.690001,44532700
2019-04-30,27.590000,27.799999,26.940001,27.629999,27.629999,73165900
2019-05-01,28.950001,29.150000,26.780001,26.809999,26.809999,136066900
2019-05-02,26.940001,28.639999,26.610001,28.290001,28.290001,100514800
2019-05-03,28.299999,28.420000,27.660000,28.219999,28.219999,55503100
2019-05-06,26.719999,27.500000,26.450001,27.420000,27.420000,70344100
2019-05-07,27.200001,27.350000,26.209999,26.660000,26.660000,75868800
2019-05-08,26.410000,27.709999,26.270000,27.090000,27.090000,65967500
2019-05-09,26.700001,27.379999,26.030001,27.209999,27.209999,73150900
2019-05-10,27.030001,28.100000,26.930000,27.959999,27.959999,82930100
2019-05-13,26.980000,27.230000,26.100000,26.240000,26.240000,99017900
2019-05-14,26.530001,27.480000,26.150000,27.320000,27.320000,82980400
2019-05-15,26.870001,27.790001,26.730000,27.580000,27.580000,55689900
2019-05-16,27.370001,28.370001,27.270000,28.010000,28.010000,67330100
2019-05-17,27.690001,28.459999,27.400000,27.500000,27.500000,65385400
2019-05-20,26.980000,27.240000,26.490000,26.680000,26.680000,69757400
2019-05-21,27.180000,27.370001,26.930000,27.350000,27.350000,46079200
2019-05-22,27.120001,27.590000,27.070000,27.410000,27.410000,40035300
2019-05-23,26.990000,27.100000,26.030001,26.360001,26.360001,67809200
2019-05-24,26.610001,26.930000,26.400000,26.440001,26.440001,39835800
2019-05-28,27.270000,29.670000,27.059999,29.049999,29.049999,146949600
2019-05-29,29.000000,29.320000,27.730000,28.090000,28.090000,99969600
2019-05-30,28.400000,28.559999,27.600000,28.030001,28.030001,65289100
2019-05-31,27.570000,28.360001,27.400000,27.410000,27.410000,68667800
2019-06-03,28.750000,29.620001,27.290001,27.580000,27.580000,147532200
2019-06-04,28.389999,29.590000,27.910000,29.570000,29.570000,107549500
2019-06-05,29.930000,29.990000,29.030001,29.500000,29.500000,79481500
2019-06-06,29.870001,31.980000,29.840000,31.820000,31.820000,131267800
2019-06-07,31.940001,32.599998,31.570000,32.410000,32.410000,86841100
2019-06-10,33.529999,34.299999,33.080002,33.230000,33.230000,97668800
2019-06-11,33.430000,33.490002,31.820000,32.410000,32.410000,82834900
2019-06-12,32.000000,32.570000,31.920000,32.180000,32.180000,56194100
2019-06-13,32.389999,32.500000,31.059999,31.389999,31.389999,63556000
2019-06-14,30.700001,30.959999,30.020000,30.360001,30.360001,70373000
2019-06-17,30.250000,30.450001,29.180000,29.200001,29.200001,70865700
2019-06-18,29.760000,30.969999,29.580000,30.450001,30.450001,86444500
2019-06-19,30.670000,30.790001,30.059999,30.500000,30.500000,63233900
2019-06-20,31.240000,31.360001,29.840000,30.010000,30.010000,72418200
2019-06-21,29.650000,30.350000,28.969999,29.100000,29.100000,81861300
2019-06-24,29.320000,29.400000,28.670000,29.260000,29.260000,55724800
2019-06-25,29.260000,29.719999,28.799999,28.860001,28.860001,53680900
2019-06-26,29.980000,30.480000,29.780001,29.920000,29.920000,65064200
2019-06-27,30.410000,30.959999,30.209999,30.740000,30.740000,55623300
2019-06-28,31.080000,31.110001,30.330000,30.370001,30.370001,50090900
2019-07-01,31.790001,32.040001,30.870001,31.200001,31.200001,60525500
2019-07-02,30.959999,31.260000,30.730000,31.240000,31.240000,37721700
2019-07-03,31.129999,31.330000,30.740000,31.190001,31.190001,23462000
2019-07-05,30.879999,31.559999,30.750000,31.500000,31.500000,34011900
2019-07-08,31.799999,32.150002,31.260000,32.040001,32.040001,49689400
2019-07-09,31.760000,33.180000,30.100000,33.150002,33.150002,61419800
2019-07-10,33.560001,34.029999,33.360001,33.790001,33.790001,60388400
2019-07-11,33.910000,34.000000,32.759998,33.060001,33.060001,63081800
2019-07-12,32.759998,33.389999,32.590000,33.209999,33.209999,51509700
2019-07-15,33.340000,34.549999,33.270000,34.389999,34.389999,65565200
2019-07-16,34.299999,34.860001,33.799999,33.849998,33.849998,66912700
2019-07-17,34.009998,34.299999,33.490002,33.599998,33.599998,42557900
2019-07-18,33.029999,33.459999,32.419998,33.000000,33.000000,58610900
2019-07-19,33.080002,33.349998,32.450001,32.509998,32.509998,44617700
2019-07-22,32.799999,33.310001,32.740002,32.849998,32.849998,37777300
2019-07-23,33.169998,33.500000,32.930000,33.490002,33.490002,38532500
2019-07-24,33.639999,34.360001,33.450001,34.110001,34.110001,41952300
2019-07-25,34.049999,34.250000,33.619999,33.669998,33.669998,36705600
2019-07-26,34.230000,34.770000,33.869999,34.020000,34.020000,43502800
2019-07-29,34.139999,34.180000,32.980000,33.480000,33.480000,45922000
2019-07-30,33.209999,33.939999,32.939999,33.869999,33.869999,72198900
2019-07-31,32.080002,32.299999,30.299999,30.450001,30.450001,118523500
2019-08-01,30.500000,31.480000,29.100000,29.860001,29.860001,80878900
2019-08-02,29.480000,29.730000,28.940001,29.440001,29.440001,60410900
2019-08-05,28.260000,28.490000,27.650000,27.990000,27.990000,74333200
2019-08-06,28.860001,29.049999,28.200001,28.860001,28.860001,60578400
2019-08-07,28.469999,29.280001,28.370001,29.190001,29.190001,58577500
2019-08-08,31.530001,34.270000,31.480000,33.919998,33.919998,167278800
2019-08-09,33.450001,35.549999,33.080002,34.189999,34.189999,132483900
2019-08-12,34.160000,34.650002,32.080002,32.430000,32.430000,106737000
2019-08-13,32.360001,33.139999,31.719999,32.110001,32.110001,102009700
2019-08-14,31.000000,31.049999,29.510000,30.240000,30.240000,127521500
2019-08-15,30.629999,30.730000,29.209999,29.670000,29.670000,71674400
2019-08-16,30.309999,31.480000,30.209999,31.180000,31.180000,70469800
2019-08-19,32.000000,32.189999,31.420000,31.480000,31.480000,67596900
2019-08-20,30.940001,31.309999,30.450001,30.719999,30.719999,47924000
2019-08-21,31.049999,31.740000,30.840000,31.700001,31.700001,41441500
2019-08-22,31.760000,31.920000,30.980000,31.900000,31.900000,47667900
2019-08-23,31.299999,31.830000,29.400000,29.540001,29.540001,83681100
2019-08-26,30.340000,30.719999,29.940001,30.280001,30.280001,50612500
2019-08-27,30.600000,30.889999,29.600000,30.200001,30.200001,53229200
2019-08-28,29.920000,31.180000,29.700001,30.780001,30.780001,55835900
2019-08-29,31.469999,31.830000,31.330000,31.450001,31.450001,44422800
2019-08-30,31.600000,31.870001,31.129999,31.450001,31.450001,40307000
2019-09-03,30.830000,31.139999,30.680000,30.900000,30.900000,38029300
2019-09-04,31.320000,31.830000,30.850000,30.950001,30.950001,46614600
2019-09-05,31.790001,32.049999,31.120001,31.500000,31.500000,57861200
2019-09-06,31.500000,31.510000,30.480000,30.559999,30.559999,51673000
2019-09-09,30.930000,31.180000,30.240000,30.500000,30.500000,54413200
2019-09-10,30.219999,30.379999,29.770000,30.230000,30.230000,48604800
2019-09-11,30.379999,30.430000,29.510000,29.760000,29.760000,50631700
2019-09-12,30.080000,30.840000,29.950001,30.209999,30.209999,53618300
2019-09-13,30.270000,30.850000,29.950001,30.690001,30.690001,47758800
2019-09-16,30.370001,31.150000,30.260000,30.830000,30.830000,52248500
2019-09-17,31.070000,31.320000,30.740000,30.990000,30.990000,35011700
2019-09-18,30.750000,30.889999,29.879999,30.420000,30.420000,47027500
2019-09-19,30.570000,30.959999,30.139999,30.290001,30.290001,41603000
2019-09-20,30.360001,30.469999,29.650000,30.049999,30.049999,79957400
2019-09-23,30.120001,30.799999,30.070000,30.639999,30.639999,44366800
2019-09-24,30.540001,30.750000,29.290001,29.520000,29.520000,72963000
2019-09-25,29.480000,29.650000,28.549999,29.540001,29.540001,58234800
2019-09-26,29.670000,29.770000,29.000000,29.469999,29.469999,40745400
2019-09-27,29.170000,29.770000,28.350000,28.719999,28.719999,54091100
2019-09-30,28.889999,29.049999,28.360001,28.990000,28.990000,37295600
2019-10-01,29.049999,29.540001,28.639999,28.760000,28.760000,37081800
2019-10-02,28.500000,28.850000,28.030001,28.309999,28.309999,43640700
2019-10-03,28.280001,28.780001,27.430000,28.680000,28.680000,56325200
2019-10-04,28.830000,29.059999,28.280001,29.010000,29.010000,34446700
2019-10-07,28.900000,29.629999,28.840000,28.930000,28.930000,39337200
2019-10-08,28.549999,28.639999,27.920000,28.230000,28.230000,44265700
2019-10-09,28.799999,28.950001,28.350000,28.459999,28.459999,35661500
2019-10-10,28.520000,28.889999,28.000000,28.379999,28.379999,40660100
2019-10-11,28.830000,30.200001,28.809999,29.750000,29.750000,66256900
2019-10-14,29.709999,30.610001,29.379999,30.530001,30.530001,44473700
2019-10-15,30.700001,30.920000,30.170000,30.719999,30.719999,41600700
2019-10-16,30.600000,31.410000,30.530001,30.809999,30.809999,42804400
